Year,"Total private debt, all instruments","Total private debt, loans and debt securities","Household debt, all instruments","Household debt, loans and debt securities","Non-financial corporations debt, all instruments","Non-financial corporations debt, loans and debt securities",General government debt,Central government debt,Nominal gross domestic product
1950,,33.38,,,,,18.81,,56.08
1951,,35.19,,,,,16.69,,68.53
1952,,40.11,,,,,15.71,,78.28
1953,,46.79,,,,,20.56,,84.3
1954,,53.95,,,,,21.81,,90.72
1955,,57.5,,,,,20.21,,103.68
1956,,59.33,,,,,18.81,,114.12
1957,,60.36,,,,,18.08,,124.1
1958,,63.06,,,,,17.94,,132.58
1959,,68.46,,,,,17.67,,143.59
1960,,67.64,,,,,16.51,,163.37
1961,,71.55,,,,,16.31,8.52,179.02
1962,,74.55,,,,,15.85,8.27,194.71
1963,,78.81,,,,,16.62,8.83,206.36
1964,,80.44,,,,,16.64,8.46,226.77
1965,,82.34,,,,,17.26,8.2,247.81
1966,,83.85,,,,,18.06,8.25,263.5
1967,,88.16,,,,,20.73,9.77,266.8
1968,,91.48,,,,,20.81,9.83,287.81
1969,,94.28,,,,,18.71,8.52,322.17
1970,,92.97,,39.5,,53.46,17.66,7.78,364.46
1971,,94.95,,40.28,,54.67,17.74,7.16,404.64
1972,,98.86,,42.29,,56.56,17.96,7.26,444.24
1973,,100.15,,43.42,,56.72,17.33,7.06,495.04
1974,,101.16,,43,,58.15,18.52,7.58,531.03
1975,,103.31,,43.94,,59.37,23.66,10.61,554.07
1976,,102.88,,44.38,,58.51,25.08,11.42,604.73
1977,,104.77,,45.83,,58.94,26.03,12.33,645.1
1978,,106.12,,47.67,,58.44,27.37,13.43,692.73
1979,,108.22,,49.97,,58.25,28.24,14.17,749.34
1980,,112.36,,51.92,,60.43,30.14,15.15,795.08
1981,,116.79,,54.24,,62.55,33.61,17.12,829.93
1982,,119.31,,55.86,,63.45,36.44,18.63,862.7
1983,,120.59,,57.88,,62.7,37.97,19.63,904.6
1984,,121.42,,58.95,,62.47,38.66,20.14,948.99
1985,,121.76,,60.55,,61.21,39.23,20.59,990.79
1986,,118.89,,59.64,,59.24,39.09,20.58,1047.73
1987,,118.96,,59.72,,59.24,40.11,21.09,1082.06
1988,,118.33,,58.86,,59.47,40.52,21.59,1139.31
1989,,118.64,,58.64,,60.01,39.19,21,1211.7
1990,,117.12,,57.73,,59.4,40.74,23.17,1322.26
1991,,107.26,,51.2,,56.06,38.84,22.69,1591.61
1992,,107.34,,51.57,,55.77,41.26,24.73,1709.89
1993,,115.13,,55.19,,59.94,44.93,26.97,1757.34
1994,,115.86,,57.88,,57.98,47.32,28.68,1838.02
1995,148.26,114.99,60.89,59.89,87.37,55.11,54.75,35.37,1899.93
1996,152.86,119.83,64.03,63.04,88.82,56.79,57.58,37.14,1928.56
1997,155.82,122.99,65.95,65.01,89.88,57.98,58.69,37.63,1967.18
1998,160.03,126.96,67.85,66.94,92.17,60.02,59.3,38.11,2022.31
1999,170.42,130.35,70.69,69.97,99.74,60.39,59.87,38.73,2077.24
2000,180.75,139.22,71.11,70.48,109.64,68.74,58.77,37.86,2129.66
2001,180.66,140.52,69.95,69.34,110.71,71.18,57.58,36.04,2195.53
2002,183.23,142.69,69.82,69.19,113.41,73.5,59.27,36.59,2223.36
2003,182.7,142.67,70.01,69.36,112.69,73.31,62.71,38.38,2240.81
2004,175.73,135.61,68.66,67.93,107.07,67.68,64.33,39.22,2293.04
2005,174.5,134.03,67.45,66.85,107.06,67.18,66.46,40.63,2325.71
2006,173.25,132.39,64.6,64.16,108.65,68.23,65.75,40.48,2426.18
2007,170.35,127.34,60.85,60.44,109.5,66.9,63.08,38.86,2542.22
2008,172.16,127.6,59.17,58.75,113,68.86,64.59,39.38,2589.68
2009,176.87,131.28,61.31,60.84,115.56,70.43,71.72,43.54,2494.87
2010,170.51,126.78,58.66,58.22,111.85,68.56,80.38,51.11,2616.06
2011,164.59,121.94,56.48,55.99,108.11,65.95,77.85,49.02,2747.81
2012,164.81,121.4,56.03,55.46,108.78,65.94,79.16,49.65,2800.38
2013,164.66,122.11,55.13,54.57,109.54,67.54,76.79,48.57,2867.28
2014,158.34,116.1,53.73,53.16,104.61,62.94,73.82,46.85,2985.17
2015,157.52,115.44,53.1,52.6,104.41,62.84,70.56,44.46,3085.65
2016,156.96,115.21,52.79,52.29,104.17,62.92,67.63,42.73,3196.11
2017,156.66,115.55,52.42,51.9,104.24,63.65,63.95,40.87,3331.11
2018,160.42,117.84,52.17,51.64,108.25,66.21,60.73,38.89,3431.13
2019,164.81,120,53.1,52.55,111.72,67.45,58.56,37.13,3534.88
2020,175.07,129.27,56.84,56.28,118.23,73,67.86,44.25,3449.62
2021,178,128.11,56.1,55.55,121.9,72.56,67.88,45.68,3676.46
2022,173.83,125.39,54.47,53.88,119.36,71.51,64.79,44.92,3953.85
2023,,120.15,,51.33,,68.82,62.66,44.2,4185.55
