Year,"Total private debt, all instruments","Total private debt, loans and debt securities","Household debt, all instruments","Household debt, loans and debt securities","Non-financial corporations debt, all instruments","Non-financial corporations debt, loans and debt securities",General government debt,Central government debt,Nominal gross domestic product
1950,,,,,,,,,
1951,,,,,,,,,
1952,,,,,,,,,
1953,,,,,,,,,
1954,,,,,,,,,
1955,,,,,,,,,
1956,,,,,,,,,
1957,,,,,,,,,
1958,,,,,,,,,
1959,,,,,,,,,
1960,,,,,,,,,6.86
1961,,,,,,,,,7.46
1962,,,,,,,,,8.69
1963,,,,,,,,,10.43
1964,,,,,,,,,11.89
1965,,,,,,,,,13.95
1966,,,,,,,,,14.28
1967,,,,,,,,,15.48
1968,,,,,,,,,16.53
1969,,,,,,,,,19.44
1970,,,,,,,,,23.11
1971,,,,,,,,,26.68
1972,,,,,,,,,32.21
1973,,,,,,,,,41.33
1974,,,,,,,,,47.24
1975,,,,,,,,,49.59
1976,,,,,,,,,63.16
1977,,,,,,,,,73.28
1978,,99.76,,,,,,,85.78
1979,,100.32,,,,,,,112.69
1980,,109.01,,,,,,,143.62
1981,,126.29,,,,,,,173.58
1982,,143.95,,,,,,,196.01
1983,,146.53,,,,,,,217.28
1984,,130.13,,,,,,,261.99
1985,,128.77,,,,,,,278.13
1986,,131.48,,,,,,,320.53
1987,,132.49,,,,,,,394.77
1988,,137.79,,,,,,,466.08
1989,,156.12,,,,,,,536.56
1990,,166.32,,34.49,,131.83,,,599.26
1991,,150.99,,39.42,,111.56,,,691.32
1992,,142.72,,38.73,,103.99,,,807.13
1993,,145.49,,39.89,,105.61,,,931.01
1994,,146.31,,38.55,,107.76,,,1049.61
1995,,157.48,,41.21,,116.27,,,1119.01
1996,,165.01,,44.42,,120.59,,,1235.3
1997,,175.17,,50.59,,124.58,,,1373.08
1998,,174.48,,56.05,,118.43,,,1308.07
1999,,166.06,,58.04,,108.02,,,1285.95
2000,,162.88,,57.9,,104.97,,,1337.5
2001,,161.88,,60.3,,101.58,,3.56,1321.14
2002,,161.01,,60.51,,100.5,,3.47,1297.34
2003,,168.72,,59.91,,108.81,,3.74,1256.67
2004,,169.76,,57.72,,112.04,,5.54,1316.95
2005,,173.72,,54.93,,118.8,,4.96,1412.13
2006,,176.06,,51.67,,124.39,,4.59,1503.35
2007,,186.96,,51.08,,135.88,,4.18,1650.76
2008,,191.84,,51.32,,140.51,,3.92,1707.49
2009,,194.27,,55.45,,138.82,,4.88,1659.25
2010,,224.56,,59.23,,165.33,,5.52,1776.33
2011,,237.13,,59.05,,178.08,,6.1,1934.43
2012,,238.59,,61.26,,177.33,,6.77,2037.06
2013,,264.13,,62.65,,201.47,,7.67,2138.31
2014,,283.78,,65.48,,218.31,,7.48,2260.01
2015,,297.49,,67.09,,230.41,,7.27,2398.28
2016,,306.48,,67.63,,238.85,,7.51,2490.6
2017,,343.35,,70.78,,272.58,,6.99,2659.61
2018,,335.31,,72.67,,262.64,,6.6,2835.43
2019,,349.45,,81.68,,267.78,,6.17,2845.02
2020,,384.04,,91.61,,292.43,,8.36,2675.79
2021,,368.81,,93.14,,275.67,,10.73,2867.97
2022,,374.05,,96.36,,277.69,,14.6,2808.98
2023,,363.39,,93.22,,270.17,,,2981.6
