Year,"Total private debt, all instruments","Total private debt, loans and debt securities","Household debt, all instruments","Household debt, loans and debt securities","Non-financial corporations debt, all instruments","Non-financial corporations debt, loans and debt securities",General government debt,Central government debt,Nominal gross domestic product
1950,,,,,,,,26.13,128.04
1951,,16.82,,,,,,25.18,135.08
1952,,16.76,,,,,,26.39,132.06
1953,,16.21,,,,,,24.65,139.65
1954,,18.65,,,,,,24.86,130.45
1955,,19.91,,,,,,29.63,136.49
1956,,18.88,,,,,,25.48,154.18
1957,,20.48,,,,,,27.38,156.34
1958,,20.38,,,,,,23.73,172.45
1959,,22.43,,,,,,33.58,175.83
1960,,22.8,,,,,,34.46,180.34
1961,,22.46,,,,,,36.79,190.26
1962,,23.04,,,,,,36.21,204.56
1963,,24.84,,,,,,35.43,209.56
1964,,22.29,,,,,,33.81,255.75
1965,,23.64,,,,,,36.73,267.22
1966,,23.46,,,,,,36.38,299.52
1967,,20.88,,,,,,33.99,367.97
1968,,21.62,,,,,,40.31,389.23
1969,,22.68,,,,,,38.78,421.2
1970,,24.08,,,,,,38.18,468.2
1971,,25.69,,,,,,37.58,501.2
1972,,26.49,,,,,,37.16,552.5
1973,,27.22,,,,,,34.13,672.4
1974,,26.32,,,,,,30.61,793.8
1975,,29.97,,,,,,31.38,852.1
1976,,35.84,,,,,,33.26,918.1
1977,,35.81,,,,,,35.94,1040.2
1978,,39.72,,,,,,35.91,1126.7
1979,,42.83,,,,,,37.91,1235.6
1980,,41.95,,,,,,38.03,1470.6
1981,,43.39,,,,,,37.18,1727.8
1982,,46.48,,,,,,41.7,1932.6
1983,,46.47,,,,,,39.65,2250.7
1984,,49,,,,,,41.56,2521.9
1985,,49,,,,,,44.28,2845.3
1986,,50.05,,,,,,47.86,3183.7
1987,,50.21,,,,,,48.87,3618.7
1988,,52.57,,,,,,48.91,4293.6
1989,,53.11,,,,,,50.46,4932.8
1990,,52.14,,,,,,50.77,5761.1
1991,,48.81,,,,,76.65,50.11,6622.6
1992,,51.18,,,,,78.76,42.83,7612
1993,,48.57,,,,,78.33,51.77,8759.9
1994,,47.66,,,,,74.75,49.73,10275.7
1995,,49.5,,,,,70.88,47.43,12055.8
1996,,48.34,,,,,67.13,45.66,13948.2
1997,,49.05,,,,,69.01,,15452.9
1998,,49.6,,2.25,,47.35,69.28,55.84,17723
1999,,52.82,,2.24,,50.58,71.27,56.29,19882.6
2000,,57.49,,2.59,,54.89,74.94,56.57,21398.9
2001,,58.66,,3.08,,55.58,80.11,58.01,23152.4
2002,,64.66,,3.56,,61.1,84.3,60.87,24926.1
2003,,64.2,,4.57,,59.63,85.88,58.22,27925.3
2004,,70.72,,6.41,,64.31,84.89,56.1,31863.3
2005,,79.14,,8.03,,71.11,82.38,53.06,36321.3
2006,,86.89,,9.65,,77.24,77.94,49.55,42546.3
2007,,92.27,,40.81,,51.47,75.46,48.29,48986.6
2008,,101.59,,41.01,,60.58,74.37,48.49,55141.5
2009,,96.83,,35.36,,61.46,72.77,50.22,63664.1
2010,,103.06,,35.2,,67.86,67.7,45.62,76344.7
2011,,105.17,,34.52,,70.64,68.65,45.77,87363.3
2012,,104.12,,33.65,,70.47,67.98,47.09,99440.1
2013,,95.07,,32.97,,62.1,67.71,46.98,112335.2
2014,,98.33,,32.73,,65.61,67.1,46.03,124679.6
2015,,94.38,,32.43,,61.96,69.05,45.77,137718.7
2016,,85.47,,32.06,,53.41,68.94,45.53,153916.7
2017,,97.94,,33.26,,64.68,69.67,44.27,170900.4
2018,,91.81,,34.16,,57.65,70.39,44.13,188996.7
2019,,94.54,,36,,58.54,75.04,46.7,201035.9
2020,,101.6,,40.43,,61.18,88.43,55.03,198541
2021,,90.6,,36.05,,54.55,83.49,54.42,235974
2022,,93.8,,37.32,,56.48,81.68,54.36,269496.5
2023,,98.42,,39.16,,59.26,83.02,56.13,295356.7
