Year,"Total private debt, all instruments","Total private debt, loans and debt securities","Household debt, all instruments","Household debt, loans and debt securities","Non-financial corporations debt, all instruments","Non-financial corporations debt, loans and debt securities",General government debt,Central government debt,Nominal gross domestic product
1950,,,,,,,,,4167.77
1951,,,,,,,,,5772.23
1952,,,,,,,,,6516.18
1953,,,,,,,,,7354.44
1954,,,,,,,,,8166.46
1955,,,,,,,13.5,,8977.25
1956,,,,,,,14.89,,10106.38
1957,,,,,,,12.02,,11646.75
1958,,,,,,,12.83,,12376.01
1959,,,,,,,12.12,,14148.06
1960,,,,,,,10.41,,17172.04
1961,,,,,,,8.44,,20740.27
1962,,,,,,,9.01,,23535.9
1963,,,,,,,8.66,,26936.59
1964,,109.75,,19.91,,89.84,8.53,,31685.96
1965,,116.84,,21.4,,95.44,9.78,,35252.15
1966,,117.45,,22.64,,94.81,11.22,,40941.02
1967,,118.16,,23.58,,94.58,11.36,,47978.15
1968,,115.92,,24.14,,91.77,11.82,,56821.01
1969,,117.64,,25.38,,92.25,11.44,7.58,66746.66
1970,,117.77,,25.92,,91.85,11.25,7.44,78670.03
1971,,130.78,,28.82,,101.96,12.6,8.38,86560.52
1972,,139.43,,31.66,,107.77,16.31,11.46,99102.57
1973,,137.77,,34.24,,103.53,15.9,10.59,120665.74
1974,,131.66,,33.91,,97.75,16.71,10.94,143990.23
1975,,136.33,,35.82,,100.51,20.89,14,159096.12
1976,,137.43,,37.63,,99.79,26.1,18.03,178666.83
1977,,136.01,,38.56,,97.45,31.1,22.15,199098.62
1978,,135.09,,40.91,,94.18,39.05,28.92,219244.45
1979,,137.39,,43.79,,93.61,43.81,32.46,237631.54
1980,,139.89,,45.62,,94.27,47.78,33.75,256076
1981,,143.37,,46.88,,96.49,52.81,38.09,274615.8
1982,,149.15,,48.63,,100.52,57.73,42.22,288612.9
1983,,155.68,,51.4,,104.28,63.51,47.27,301844.1
1984,,159.38,,52.42,,106.95,65.6,49.05,319663.6
1985,,162,,52.09,,109.91,68.31,51.83,340395.3
1986,,168.27,,53.63,,114.65,74.08,57.25,357276.2
1987,,183.56,,59.52,,124.04,75.83,58.29,373273.1
1988,,190,,61.89,,128.11,71.94,54.67,400566.9
1989,,200.92,,66.49,,134.43,65.67,48.81,428994.1
1990,,207.53,,68.34,,139.18,63.23,46.26,461295
1991,,206.19,,67.39,,138.8,62.38,45.04,491418.8
1992,,208.58,,67.38,,141.2,66.77,47.62,504161.3
1993,,213.55,,68.67,,144.87,72.84,51.43,504497.8
1994,282.43,214.21,80.81,69.48,201.62,144.73,84.36,56.77,510916.2
1995,288.46,212.48,83.02,70.13,205.44,142.35,92.53,62.21,521613.6
1996,282.39,208.53,82.26,69.55,200.12,138.98,98.05,65.88,535562
1997,243.46,206.3,80.21,69.34,163.25,136.96,104.97,63.68,543545.3
1998,237.5,199.28,81.57,69.76,155.93,129.53,116.02,72,536497.4
1999,235.12,196.47,82.54,71.11,152.59,125.36,129.5,80.73,528069.9
2000,227.29,187.62,80.72,69.84,146.57,117.78,135.61,89.2,535417.8
2001,216.09,182.87,78.23,68.52,137.87,114.35,145.12,99.46,531653.9
2002,217.16,179.08,77.62,67.43,139.55,111.65,154.1,104.72,524478.7
2003,214.08,171.11,77.04,66.54,137.04,104.57,160.02,113.74,523968.7
2004,207.49,163.97,75.86,64.73,131.63,99.24,169.49,122.95,529400.9
2005,207.5,162.53,65.17,62.09,142.33,100.43,174.59,131.27,532515.6
2006,208.13,161.11,63.89,61.14,144.24,99.97,174.14,133.38,535170.2
2007,204.36,158.77,62.49,60,141.87,98.77,172.95,134.08,539281.7
2008,207.52,163.82,62.62,60.28,144.9,103.55,180.85,140.69,527823.8
2009,215.43,170.32,66.06,63.53,149.37,106.79,198.81,150.92,494938.4
2010,206.93,162.77,63.55,61.23,143.38,101.54,205.88,156.78,505530.6
2011,207.68,163.06,64.04,61.82,143.64,101.24,219.16,168.35,497449
2012,202.08,161.05,63.63,61.41,138.45,99.64,226.09,176.72,500474.6
2013,199.59,159.57,63.7,61.3,135.88,98.27,229.45,183.27,508700.6
2014,201.23,157.81,63.01,60.76,138.22,97.05,233.28,186.44,518811.1
2015,196.8,153.84,61.84,59.52,134.96,94.32,228.28,188.25,538032.4
2016,196.27,155.46,62.19,59.82,134.08,95.64,232.42,193.12,544364.6
2017,198.29,156.05,62.66,60.28,135.63,95.77,231.32,191.26,553073
2018,203.13,159.41,64,61.38,139.13,98.02,232.38,192.42,556630.1
2019,205.88,164.33,64.79,62.54,141.08,101.79,236.38,197.46,557910.9
2020,222.39,183.25,69.52,67.49,152.87,115.76,258.37,205.56,539648.8
2021,224.51,183.62,69.49,67.65,155.02,115.97,253.65,214.1,553150.8
2022,229.43,185.53,70,67.85,159.44,117.68,256.3,214.26,561751.3
2023,,180.31,,65.66,,114.65,249.67,205.28,592848.3
