Year,"Total private debt, all instruments","Total private debt, loans and debt securities","Household debt, all instruments","Household debt, loans and debt securities","Non-financial corporations debt, all instruments","Non-financial corporations debt, loans and debt securities",General government debt,Central government debt,Nominal gross domestic product
1950,,,,37.31,,,,36.11,35.68
1951,,,,32.64,,,,30.04,43.95
1952,,,,32.45,,,,27.42,47.79
1953,,,,34.85,,,,27.2,49.43
1954,,,,36.24,,,,27.7,52.36
1955,,,,36.37,,,,27.53,56.29
1956,,,,36.11,,,,26.88,61.16
1957,,,,37.25,,,,27.27,65.34
1958,,,,38.42,,,,28.33,69.02
1959,,,,39.59,,,,27.85,73.55
1960,,,,39.67,,,,27.5,80.04
1961,,104.99,,42.63,,62.37,,24.87,87.07
1962,,107.36,,42.78,,64.58,,21.94,94.43
1963,,111.58,,43.13,,68.44,,19.82,102.21
1964,,111.9,,42.29,,69.61,,17.86,113.99
1965,,112.24,,39.99,,72.24,,16.13,125.43
1966,,113.5,,40.53,,72.96,,15.17,136.44
1967,,116.25,,41.07,,75.17,,15.29,148.1
1968,,122.74,,42.68,,80.04,,16.81,157.16
1969,,120.54,,39.93,,80.61,,16.72,170.67
1970,,113.48,,39.13,,74.36,27.47,17.21,191.12
1971,,112.66,,41.59,,71.06,27.83,17.17,206.65
1972,,113.83,,43.18,,70.63,27.69,17.61,226.11
1973,,114.29,,45.35,,68.94,27.02,18.38,251.62
1974,,112.8,,45.96,,66.83,27.37,19.34,284.23
1975,,106.64,,44.77,,61.87,26.6,22.01,333.79
1976,,104.77,,45.21,,59.56,24.82,21.3,377.52
1977,,107.03,,46.74,,60.28,26.94,23.86,410.61
1978,,106.82,,47.89,,58.93,31.11,28.66,457.7
1979,,106.42,,48.93,,57.49,35.65,34.14,513.03
1980,,101.25,,47.79,,53.46,39.81,38.89,590.33
1981,,103.1,,48.42,,54.68,46.95,45.82,645.11
1982,,105.98,,49.82,,56.15,55.61,53.4,706.19
1983,,104.71,,48.57,,56.14,58.88,58.11,791.93
1984,,105.08,,48,,57.08,59.99,60.05,890.28
1985,,106.7,,47.62,,59.08,59.67,61.49,968.74
1986,,115.71,,51.76,,63.95,59.16,59.52,1059.75
1987,,124.9,,54.23,,70.68,52.65,54.24,1147.22
1988,,136.54,,59.36,,77.19,47.2,48.63,1254.17
1989,,147.81,,58.19,,89.61,42.91,43.2,1388.89
1990,,154.89,,55.56,,99.33,38.97,40.45,1529.39
1991,,145.79,,51.77,,94.03,46.86,42.34,1636.62
1992,,151.71,,50.93,,100.77,58.97,53.71,1639.92
1993,,151.4,,50.13,,101.27,65.81,68.41,1655.12
1994,,141.59,,46.61,,94.98,68.25,72.91,1764.66
1995,182.28,132.23,44.11,43.6,138.17,88.63,68.39,75.48,1904.97
1996,182.02,130.83,43.99,43.54,138.03,87.29,68.63,79.05,1957.83
1997,193.34,137.23,44.49,44,148.85,93.23,67.4,80.52,2048.08
1998,200.49,141.91,44.98,44.42,155.5,97.48,65.11,79.72,2153.55
1999,206.94,147.32,46.41,45.86,160.53,101.46,60.01,74.65,2266.55
2000,219.03,154.28,47.91,47.21,171.11,107.08,50.22,66.55,2408.79
2001,229.85,161.92,54.99,49.34,174.87,112.58,51.74,59.05,2504.8
2002,218.06,161.13,56.5,51.27,161.56,109.86,49.67,56.26,2603.44
2003,203.33,158.16,58.77,53.68,144.55,104.48,49.31,54.83,2701.42
2004,199.87,158.61,61.51,56.66,138.35,101.95,48.55,53.45,2826
2005,211.99,167.12,65.73,60.61,146.26,106.51,48.83,53.54,2927.14
2006,185.59,141.14,68.48,62.97,117.11,78.17,43.72,48.49,3117.51
2007,204.46,161.62,70.64,64.83,133.82,96.8,39.07,42.95,3312.15
2008,229.85,188.05,73.26,68.25,156.6,119.8,37.74,41.14,3391.89
2009,241.52,201.21,80.36,75.59,161.16,125.63,40.95,44.63,3324.15
2010,230.18,189.32,81.07,75.92,149.11,113.4,38.3,41.19,3551.53
2011,232.76,192.89,81.2,76.5,151.57,116.39,37.38,39.99,3704.84
2012,235.07,195.89,83.54,79.29,151.52,116.6,37.69,40.67,3724.51
2013,248.33,210.13,85.09,81.2,163.23,128.93,40.35,43.3,3804.99
2014,241,202.75,86.07,82.14,154.94,120.61,45.2,46.08,3963.68
2015,250.06,212.1,86.29,82.44,163.77,129.65,44.04,44.76,4231.75
2016,250.26,212.11,89.29,85.7,160.96,126.41,42.37,42.98,4402.73
2017,259.24,218.6,91.41,87.22,167.82,131.38,41.11,41.72,4582.91
2018,256.86,215.7,92.17,88.09,164.69,127.61,39.49,40.32,4792.29
2019,264.66,225.15,92.02,88.51,172.63,136.64,35.7,36.63,5033.44
2020,279.38,238.95,97.78,93.65,181.6,145.3,40.31,42.25,5020.98
2021,283.93,242.23,95.94,91.86,188,150.37,36.83,38.98,5464.88
2022,288.19,239.9,92.86,87.54,195.32,152.36,33.75,37.42,5865.21
2023,,211.14,,83.43,,127.71,36.37,32.67,6206.03
