Year,"Total private debt, all instruments","Total private debt, loans and debt securities","Household debt, all instruments","Household debt, loans and debt securities","Non-financial corporations debt, all instruments","Non-financial corporations debt, loans and debt securities",General government debt,Central government debt,Nominal gross domestic product
1950,,,,,,,,6.55,26.22
1951,,,,,,,,6.89,29.16
1952,,,,,,,,8.16,31.76
1953,,,,,,,,12.83,33.01
1954,,,,,,,,16.52,35.26
1955,,,,,,,,13.3,36.36
1956,,,,,,,,12.74,40.07
1957,,16.76,,,,,,12.57,46.77
1958,,18.69,,,,,,14.99,48.77
1959,,19.57,,,,,,15.25,52.17
1960,,20.5,,,,,,14.26,57.79
1961,,21.66,,,,,,12.88,63.13
1962,,23.49,,,,,,13.41,68.29
1963,,22.69,,,,,,12.58,74.7
1964,,24.92,,,,,,13.33,79.01
1965,,27.53,,,,,,14.82,85.41
1966,,27.62,,,,,,14.4,99.66
1967,,28.63,,,,,,15.03,112.05
1968,,30.04,,,,,,15.53,123.78
1969,,31.84,,,,,,17.7,136.83
1970,,36.18,,,,,,18.53,145.59
1971,,38.35,,,,,,21.55,153.05
1972,,39.21,,,,,,26.77,168.27
1973,,43.55,,,,,,21.17,212.61
1974,,45,,,,,,16.32,278.71
1975,,49.45,,,,,,15.76,314.43
1976,,50.13,,,,,,21.98,355.98
1977,,55.58,,,,,,22.39,410.64
1978,,60.41,,,,,,22.77,491.01
1979,,62.49,,,,,,23.69,581.16
1980,,59.85,,,,,,22.15,684.36
1981,,61.11,,,,,,24.37,785.51
1982,,65.51,,,,,,27.11,869.4
1983,,80.27,,,,,,28.92,951.42
1984,,87.09,,,,,,30.65,1020.73
1985,,89.49,,,,,,36.76,1091.39
1986,,88.97,,,,,,40.14,1170.83
1987,,93.87,,,,,,38.77,1342.85
1988,,98.98,,,,,,30.33,1611.32
1989,,108.71,,,,,,23.72,1918.33
1990,,127.54,,,,,,17.8,2263.47
1991,,140.08,,,,,,12.97,2583.49
1992,,148.87,,,,,,10.49,2935.65
1993,,161.47,,,,,,8.19,3263.43
1994,,186.38,,,,,,5.69,3689.09
1995,,206.17,,,,,,4.61,4217.61
1996,,217.52,,,,,,3.67,4638.6
1997,,249.99,,,,,,4.64,4710.31
1998,,227.23,,,,,,10.67,4701.55
1999,,193.12,,,,,,20.01,4789.83
2000,,160.86,,,,,,21.96,5069.82
2001,,143.55,,,,,,24.58,5345
2002,,146.71,,,,,,30.07,5769.58
2003,,137.83,,42.24,,95.6,,27.05,6317.3
2004,,141.01,,43.69,,97.32,,24.4,6954.28
2005,,139.66,,45.08,,94.58,25.9,24.39,7614.41
2006,,133.65,,44.41,,89.25,23.99,23.26,8400.64
2007,,128.23,,51.7,,76.53,22.9,22.6,9076.3
2008,,132.51,,52.43,,80.08,22.08,21.99,9706.93
2009,,136.73,,57.87,,78.86,26.8,26.8,9658.67
2010,,133.79,,59.27,,74.52,27.78,27.78,10808.15
2011,,144.88,,66.19,,78.7,27.32,27.32,11306.91
2012,,150.03,,71.78,,78.25,28.52,28.46,12357.34
2013,,156.55,,76.6,,79.95,29.64,29.63,12915.16
2014,,160.79,,79.73,,81.06,29.95,29.89,13230.3
2015,,164.29,,81.16,,83.13,32.22,32.09,13743.48
2016,,161.67,,79.39,,82.27,30.69,30.56,14590.34
2017,,157.86,,78.13,,79.73,32.53,32.46,15488.66
2018,,158.83,,78.35,,80.48,33.95,33.9,16373.34
2019,,159.51,,79.87,,79.64,34.05,34,16889.17
2020,,180.91,,89.58,,91.34,45.1,45.05,15661.29
2021,,184.27,,90.04,,94.22,52.77,52.73,16188.61
2022,,178.71,,87.01,,91.7,53.74,53.53,17378.02
2023,,178.11,,86.88,,91.23,54.73,54.27,17922.04
