Year,"Total private debt, all instruments","Total private debt, loans and debt securities","Household debt, all instruments","Household debt, loans and debt securities","Non-financial corporations debt, all instruments
","Non-financial corporations debt, loans and debt securities",Public sector debt,"Nonfinancial public sector debt
",General government debt,"Central government debt
",Nominal gross domestic product
1950,,,,,,,,,179.9,,14.34
1951,,,,,,,,,162.18,,15.98
1952,,,,,,,,,150.15,,17.24
1953,,,,,,,,,140.87,,18.49
1954,,,,,,,,,135.84,,19.57
1955,,,,,,,,,127.55,,21.12
1956,,,,,,,,,119.04,,22.72
1957,,,,,,,,,112.64,,23.98
1958,,,,,,,,,108.94,,25
1959,,,,,,,,,103.36,,26.49
1960,,,,,,,,,97.94,,28.32
1961,,,,,,,,,94.15,,30.01
1962,,,,,,,,,90.98,,31.52
1963,,48.93,,,,,,,89.21,,33.46
1964,,52.22,,,,,,,82.65,,36.57
1965,,55.37,,,,,,,77.23,,39.42
1966,,58.5,,30.84,,27.66,,,74.67,,41.97
1967,,59.27,,31.25,,28.02,,,71.87,,44.19
1968,,58.07,,30.62,,27.45,,,70.96,,47.92
1969,,57.13,,30.12,,27.01,,,66.04,,51.58
1970,,57.81,,30.48,,27.33,,,73.42,,56.63
1971,,57.01,,30.06,,26.95,,,67.94,,63.17
1972,,64.8,,34.17,,30.63,,,65.04,,70.73
1973,,64.49,,34,,30.49,,,58.54,,81.23
1974,,62.46,,32.93,,29.52,61.02,,56.17,37.75,91.73
1975,,57.96,,30.56,,27.4,59.68,,49.59,37.29,115.79
1976,,58.91,,30.21,,28.69,59.23,,47.68,36.27,137.12
1977,,56.35,,29.72,,26.63,57.69,,53.68,44.86,159.74
1978,,55.8,,30.14,,25.65,54.78,,47.25,39.07,186.13
1979,,55.87,,30.86,,25.02,50.75,,44.52,38.46,220.98
1980,,56.81,,30.21,,26.6,50.02,,43.71,36.78,259.97
1981,,60.84,,31.83,,29.01,47.64,,41.13,33.42,290.18
1982,,65.57,,34.57,,31,46.09,,44.7,37.79,319.56
1983,,68.43,,37.09,,31.33,45.35,,44.2,39.34,351.35
1984,,75.97,,41.11,,34.86,45.45,,44.14,39.73,377.92
1985,,77.35,,42.46,,34.88,44.04,,42.89,40.23,414.63
1986,,84.66,,46.58,,38.09,43.27,,42.86,38.08,446.6
1987,,88.45,,49.6,,38.85,40.65,,41.75,37.34,496.81
1988,,98.39,,53.57,,44.82,35.04,,36.58,32.57,555.68
1989,,107.01,,55.73,,51.28,30.69,,31.44,28.49,614.63
1990,,114.68,,57.61,,57.07,27.75,,28.26,27.22,670.8
1991,,114.74,,58.64,,56.1,28.71,,28.72,27.51,705.88
1992,,115.8,,59.01,,56.79,33.57,,33.98,32.13,730.87
1993,,114.31,,58.3,,56.01,38.32,,42.12,36.74,769.86
1994,,110.86,,58.28,,52.58,41.4,,40.7,39.45,810.79
1995,155.57,111.99,65.5,58.12,90.07,53.87,43.61,,45.06,42.43,851.85
1996,149.76,108.7,63.77,56.8,85.99,51.9,44.28,,44.74,42.62,909.99
1997,153.91,112.03,64.71,57.68,89.2,54.35,42.92,,44.13,42.35,953.41
1998,173.72,120.03,67.13,59.81,106.59,60.22,41.08,,41.97,40.27,998.5
1999,166.44,128.71,69.79,63.12,96.66,65.6,39.5,,40.41,38.93,1043.25
2000,183.53,136.01,72,65.27,111.53,70.74,36.95,,37.69,37.33,1100.75
2001,194.79,144.39,76.56,69.21,118.23,75.17,34.39,,34.96,34.61,1146.14
2002,218.65,154.39,83.45,75.02,135.2,79.37,35.71,,35.43,35,1191.44
2003,214,154.59,89.88,79.82,124.12,74.77,36.62,,36.76,36.18,1258.33
2004,217.75,158.15,95.64,85.38,122.11,72.77,39.67,,39.8,39.05,1322.64
2005,221.84,165.65,97.56,87.43,124.28,78.22,40.89,,41,40.16,1398.75
2006,223,172.19,103.98,91.59,119.03,80.6,42.06,,42.06,41.12,1472.04
2007,227.38,175.99,105.68,94.75,121.7,81.24,49.72,,43.17,42.19,1544.64
2008,240.96,185.28,104.86,95.29,136.1,89.99,183.27,,50.83,49.95,1593.6
2009,247.24,185.22,107.46,98.07,139.77,87.15,188.99,,64.92,64.05,1548.8
2010,235.63,177.05,103.2,94.95,132.43,82.1,181.91,,75.86,74.89,1608.55
2011,245.86,172.47,100.46,92.34,145.4,80.14,180.84,,81.43,80.47,1662.59
2012,242.06,173.13,98.8,90.87,143.26,82.26,169.38,,84.48,83.53,1713.72
2013,225.23,167.46,96.68,89.7,128.55,77.76,158.3,,85.32,84.41,1781.36
2014,234.85,159.97,95.51,88.29,139.34,71.68,121.85,,87.09,86.16,1862.51
2015,227.49,157.77,95.3,88.13,132.2,69.64,118.07,,87.87,86.9,1916.45
2016,236.81,163.3,95.17,88.12,141.65,75.19,116.55,,87.83,86.77,1991.65
2017,226.3,163.73,93.71,87.2,132.59,76.53,110.92,,86.72,85.64,2082.48
2018,207.94,158.55,92.68,86.86,115.26,71.69,108.61,,86.35,85.28,2152.3
2019,200.1,156.99,91,85.7,109.1,71.28,107.26,,85.66,84.69,2233.92
2020,226.79,176.68,99.39,92.91,127.4,83.78,131.39,,105.84,104.85,2103.49
2021,199.81,163.85,92.82,87.94,106.99,75.91,130.88,,105.14,104.31,2285.4
2022,170.77,148.45,87.31,82.46,83.46,65.99,121.79,,99.62,99.01,2526.43
2023,157.99,140.62,82.49,77.76,75.5,62.85,120.45,,100.03,99.42,2720.03
